Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
45,Archer Daniels Midland,31800,41,62346,-0.079,1279,-0.308,39769,26274
46,UPS,"3,35,520",48,60906,0.044,3431,-0.292,40377,93276
47,Intel,"1,06,000",51,59387,0.073,10316,-0.097,"1,13,327","1,70,539"
48,Prudential Financial,49739,50,58779,0.029,4368,-0.226,"7,83,962",45912
49,Albertsons Cos.,"2,74,000",,58734,1.159,-502.2,-,23770,-
50,United Technologies,"2,01,600",45,57244,-0.062,5055,-0.336,89706,89957
51,Marathon Petroleum,44460,42,55858,-0.135,1174,-0.588,44413,26679
52,Disney,"1,95,000",53,55632,0.06,9391,0.12,92033,"1,79,298"
53,Humana,51600,52,54379,0.002,614,-0.519,25396,29743
54,Pfizer,96500,55,52824,0.081,7215,0.037,"1,71,615","2,03,725"
55,AIG,56400,49,52367,-0.102,-849,-1.387,"4,98,264",61154
56,Lockheed Martin,97000,60,50658,0.098,5302,0.471,47806,77557
57,Sysco,51900,57,50367,0.035,949.6,0.383,16722,28048
58,FedEx,"3,35,767",58,50365,0.061,1820,0.733,46064,52178
59,Hewlett Packard Enterprise,"1,95,000",,50123,-,3161,-,79679,39288
60,Cisco Systems,73700,54,49247,0.002,10739,0.196,"1,21,652","1,69,266"
61,HP,49000,20,48238,-0.533,2496,-0.452,29010,30231
62,Dow Chemical,56000,56,48158,-0.013,4318,-0.438,79511,77460
63,HCA Holdings,"2,10,500",63,44747,0.027,2890,0.357,33758,32966
64,Coca-Cola,"1,00,300",62,41863,-0.055,6527,-0.112,87270,"1,82,153"
65,New York Life Insurance,11320,61,40787,-0.111,1088.1,3.241,"2,87,196",-
66,Centene,30500,124,40721,0.786,562,0.583,20197,12271
67,American Airlines Group,"1,22,300",67,40180,-0.02,2676,-0.648,51274,21326
68,Nationwide,34320,69,40074,-0.004,334.3,-0.424,"1,97,790",-
69,Merck,68000,72,39807,0.008,3920,-0.118,95377,"1,74,454"
70,Cigna,41000,79,39668,0.047,1867,-0.108,59360,37604
71,Delta Air Lines,83756,68,39639,-0.026,4373,-0.034,51261,33586
72,Best Buy,"1,25,000",71,39403,-0.009,1228,0.369,13856,15193
73,Honeywell International,"1,31,000",75,39302,0.019,4809,0.009,54146,94991
74,Caterpillar,95400,59,38537,-0.18,-67,-1.032,74704,54402
75,Liberty Mutual Insurance Group,50000,73,38308,-0.029,1006,0.957,"1,25,592",-
76,Morgan Stanley,55311,78,37949,0.001,5979,-0.024,"8,14,949",79947
77,Massachusetts Mutual Life Insurance,11737,76,37788,-0.012,1273.5,-0.106,"2,71,040",-
78,Goldman Sachs Group,34400,74,37712,-0.038,7398,0.216,"8,60,165",91380
79,Energy Transfer Equity,30992,65,37504,-0.11,995,-0.163,79011,21292
80,TIAA,12997,82,37105,0.055,1492.3,0.229,"5,23,194",-
81,Oracle,"1,36,000",77,37047,-0.031,8901,-0.104,"1,12,180","1,83,556"
82,Tyson Foods,"1,14,000",66,36881,-0.109,1768,0.449,22373,22028
83,United Continental Holdings,88000,80,36556,-0.035,2263,-0.692,40140,22225
84,Allstate,43275,81,36534,0.025,1877,-0.135,"1,08,610",29754
85,Publix Super Markets,"1,91,000",87,34274,0.051,2025.7,0.031,17464,-
86,American Express,56400,85,33823,-0.018,5408,0.047,"1,58,893",71193
87,TJX,"2,35,000",89,33184,0.072,2298.2,0.009,12884,51053
88,Nike,70700,91,32376,0.058,3760,0.149,21396,92204
89,Exelon,34396,95,31360,0.065,1134,-0.5,"1,14,904",33309
90,General Dynamics,98800,88,31353,-0.004,2955,-0.003,32872,56791
91,Rite Aid,70580,107,30737,0.159,165.5,-0.922,11277,4473
92,Gilead Sciences,9000,86,30390,-0.069,13501,-0.254,56977,88788
93,CHS,12157,84,30347,-0.122,424.2,-0.457,17318,-
94,3M,91584,93,30109,-0.005,5050,0.045,32906,"1,14,338"
95,Time Warner,25000,99,29318,0.043,3926,0.024,65966,75660
96,Charter Communications,91500,292,29003,1.973,3522,-,"1,49,067","1,00,595"
97,Northwestern Mutual,5646,100,28799,0.024,818,0.004,"2,50,441",-
98,Facebook,17048,157,27638,0.542,10217,1.77,64961,"4,10,522"
99,Travelers Cos.,30900,105,27625,0.031,3014,-0.124,"1,00,245",33689
100,Capital One Financial,47300,112,27519,0.096,3751,-0.074,"3,57,033",41831
101,Twenty-First Century Fox,21500,96,27326,-0.057,2755,-0.668,48365,59949
102,USAA,29943,114,27131,0.114,1779.1,-0.217,"1,47,290",-
103,World Fuel Services,5000,92,27016,-0.111,126.5,-0.275,5413,2535
104,Philip Morris International,79500,106,26685,-0.004,6967,0.014,36851,"1,75,349"
105,Deere,56767,97,26644,-0.077,1523.9,-0.214,57981,34648
106,Kraft Heinz,41000,153,26487,0.444,3632,4.729,"1,20,480","1,10,528"
107,Tech Data,9500,108,26235,-0.005,195.1,-0.266,7932,3569
108,Avnet,17700,102,26219,-0.061,506.5,-0.114,11240,5898
109,Avnet,90000,102,25923,-0.125,1659,-0.772,61538,65676
110,MacyÕs,"1,48,300",103,25778,-0.048,619,-0.423,19851,9046
111,AbbVie,30000,123,25638,0.122,5953,0.157,66099,"1,03,838"
112,McDonaldÕs,"3,75,000",109,24622,-0.031,4686.5,0.035,31024,"1,06,150"
113,DuPont,46000,101,24594,-0.12,2513,0.287,39964,69451
114,Northrop Grumman,67000,118,24508,0.042,2200,0.106,25614,41577
115,ConocoPhillips,13300,90,24360,-0.213,-3615,-,89772,61692
116,Raytheon,63000,120,24069,0.035,2211,0.066,30052,44664
117,Tesoro,6308,98,24005,-0.147,734,-0.523,20398,9515
118,Arrow Electronics,18700,119,23825,0.023,522.8,0.05,14206,6546
119,Qualcomm,30500,110,23554,-0.068,5705,0.082,52359,84694
120,Progressive,31721,137,23441,0.124,1031,-0.187,33428,22760
121,Duke Energy,28798,115,23369,-0.01,2152,-0.236,"1,32,761",57397
122,Enterprise Products Partners,6800,104,23022,-0.148,2513.1,-0.003,52194,58522
123,Amgen,19200,130,22991,0.061,7722,0.113,77626,"1,20,830"
124,US Foods Holding,25000,122,22919,-0.009,209.8,0.252,8945,6207
125,U.S. Bancorp,71191,131,22744,0.058,5888,0.002,"4,45,964",87201
126,Aflac,10212,135,22559,0.081,2659,0.05,"1,29,819",29053
127,Sears Holdings,"1,40,000",111,22138,-0.12,-2221,-,9362,1231
128,Dollar General,"1,21,000",139,21987,0.079,1251.1,0.074,11672,19182
129,AutoNation,26000,136,21609,0.036,430.5,-0.027,10060,4268
130,Community Health Systems,"1,08,000",125,21374,-0.058,-1721,-,21944,1010
131,Starbucks,"2,54,000",146,21316,0.112,2817.7,0.022,14330,85092
132,Eli Lilly,41975,141,21222,0.063,2737.6,0.137,38806,92803
133,International Paper,55000,127,21079,-0.058,904,-0.036,33345,20884
134,Tenet Healthcare,"1,16,475",140,21070,0.048,-192,-,24701,1777
135,Abbott Laboratories,75000,138,20853,0.009,1400,-0.683,52666,76740
136,Dollar Tree,"1,16,050",180,20719,0.337,896.2,2.174,15702,18540
137,Whirlpool,93000,134,20718,-0.008,888,0.134,19153,12762
138,Southwest Airlines,53536,142,20425,0.031,2244,0.029,23286,33076
139,Emerson Electric,"1,03,500",128,20268,-0.091,1635,-0.397,21743,38614
140,Staples,61503,132,20217,-0.04,-1497,-4.948,8271,5723
141,Plains GP Holdings,5100,121,20182,-0.128,94,-0.203,26103,9127
142,Penske Automotive Group,24000,143,20143,0.04,342.9,0.052,8861,4001
143,Union Pacific,42919,129,19941,-0.086,4233,-0.113,55718,85911
144,Danaher,62000,133,19912,-0.048,2553.7,-0.239,45295,59359
145,Southern,32015,162,19896,0.138,2448,0.034,"1,09,697",49335
146,ManpowerGroup,28000,144,19654,0.017,443.7,0.058,7574,6938
147,Bristol-Myers Squibb,25000,168,19427,0.173,4457,1.848,33707,89591
148,Altria Group,8300,149,19337,0.026,14239,1.717,45932,"1,38,513"
149,Fluor,61551,155,19037,0.051,281.4,-0.318,9216,7353
150,KohlÕs,85000,145,18686,-0.027,556,-0.174,13574,6862
151,Lear,"1,48,400",154,18558,0.019,975.1,0.308,9901,9726
152,Jabil Circuit,"1,38,000",158,18353,0.025,254.1,-0.105,10323,5270
153,Hartford Financial Services Group,16900,152,18300,-0.004,896,-0.467,"2,23,432",17795
154,Thermo Fisher Scientific,54800,164,18274,0.077,2021.8,0.023,45908,59964
155,Kimberly-Clark,42000,151,18202,-0.021,2166,1.138,14602,46828
156,Molina Healthcare,21000,201,17782,0.254,52,-0.636,7449,2601
157,PG&E Corp.,24000,166,17666,0.049,1393,0.594,68598,33696
158,Supervalu,38000,160,17529,-0.016,178,-0.073,4370,1033
159,Cummins,55400,148,17509,-0.084,1394,-0.004,15011,25397
160,CenturyLink,40000,159,17470,-0.024,626,-0.287,47017,12883
161,AECOM,87000,156,17411,-0.032,96.1,-,13727,5528
162,Xerox,"1,33,600",150,17126,-0.082,-477,-2.006,18145,7462
163,Marriott International,"2,26,500",195,17072,0.179,780,-0.092,24140,36124
164,Paccar,23000,147,17033,-0.109,521.7,-0.675,20639,23604
165,General Mills,39000,161,16563,-0.061,1697.4,0.39,21712,33998
166,PNC Financial Services Group,50683,171,16423,0.009,3903,-0.049,"3,66,380",58455
167,American Electric Power,17634,165,16380,-0.031,610.9,-0.702,63468,33009
168,Icahn Enterprises,90980,184,16348,0.07,-1128,-,33335,7989
169,Nucor,23900,170,16208,-0.014,796.3,1.226,15224,19051
170,NextEra Energy,14700,163,16155,-0.076,2912,0.058,89993,60099
171,Performance Food Group,13000,185,16105,0.055,68.3,0.209,3455,2464
172,PBF Energy,3165,217,15920,0.213,170.8,0.167,7622,2431
173,Halliburton,50000,117,15887,-0.328,-5763,-,27000,42662
174,CarMax,22429,191,15833,0.064,623.4,0.044,14482,11081
175,Freeport-McMoRan,30000,175,15789,-0.006,-4154,-,37317,19310
176,Whole Foods Market,73515,181,15724,0.022,507,-0.054,6341,9468
177,Bank of New York Mellon Corp.,52000,179,15683,0.01,3547,0.123,"3,33,469",48913
178,Gap,"1,35,000",177,15516,-0.018,676,-0.265,7610,9712
179,Omnicom Group,78500,186,15417,0.019,1148.6,0.05,23165,20219
180,Genuine Parts,40000,183,15340,0.004,687.2,-0.026,8859,13712
181,DaVita HealthCare Partners,70300,200,15197,0.069,879.9,2.262,18741,13227
182,Colgate-Palmolive,36700,174,15195,-0.052,2441,0.764,12123,64715
183,PPG Industries,47000,182,15178,-0.01,877,-0.376,15769,26970
184,Goodyear Tire & Rubber,66000,169,15158,-0.078,1264,3.117,16511,9070
185,Synchrony Financial,15000,,15122,0.11,2251,0.017,90207,27810
186,DISH Network,16000,187,15095,0.002,1449.9,0.941,28092,29547
187,Visa,14200,204,15082,0.087,5991,-0.053,64035,"2,06,242"
188,Nordstrom,72500,197,14757,0.022,354,-0.41,7858,7770
189,INTL FCStone,1464,83,14755,-0.575,54.7,-0.018,5951,708
190,WestRock,39000,251,14706,0.292,-396.3,-1.782,23038,13029
191,XPO Logistics,87000,353,14619,0.918,69,-,11698,5338
192,Aramark,"2,17,250",199,14416,0.006,287.8,0.22,10582,9081
193,CBS,18410,203,14386,0.036,1261,-0.108,24238,28405
194,AES,19000,190,14287,-0.045,-1130,-4.693,36119,7371
195,WellCare Health Plans,7400,202,14237,0.025,242.1,1.041,6153,6212
196,FirstEnergy,15707,188,14156,-0.031,-6177,-,43148,14118
197,ConAgra Foods,20900,176,14134,-0.108,-677,-,13391,17557
198,Synnex,"1,10,000",212,14062,0.054,234.9,0.127,5223,4469
199,CDW,8516,220,13982,0.076,424.4,0.053,6948,9197
200,Textron,36000,209,13788,0.027,962,0.38,15358,12851
201,Waste Management,41200,221,13609,0.05,1182,0.57,20859,32216
202,Illinois Tool Works,50000,211,13599,0.014,2035,0.072,15201,45791
203,Office Depot,38000,196,13585,-0.062,529,-,5540,2402
204,Monsanto,22450,189,13502,-0.1,1336,-0.423,19736,49644
205,Cognizant Technology Solutions,"2,60,200",230,13487,0.086,1553,-0.043,14262,36226
206,Texas Instruments,29865,219,13370,0.028,3595,0.204,16431,80531
207,Lincoln National,9057,205,13330,-0.018,1192,0.033,"2,61,627",14760
208,Newell Brands,53400,434,13264,1.221,527.8,0.508,33838,22787
209,Land OÕLakes,10000,215,13233,0.006,244.9,-0.204,8305,-
210,Marsh & McLennan,60000,222,13211,0.025,1768,0.106,18190,38078
211,Ecolab,47565,206,13153,-0.029,1229.6,0.227,18330,36356
212,C.H. Robinson Worldwide,14125,208,13144,-0.025,513.4,0.007,3688,10958
213,Loews,15800,210,13105,-0.023,654,1.515,76594,15747
214,CBRE Group,75000,259,13072,0.204,572,0.045,10780,11753
215,Kinder Morgan,11121,198,13058,-0.093,708,1.798,80305,48533
216,Kellogg,37369,207,13014,-0.038,694,0.13,15111,25417
217,Western Digital,72878,194,12994,-0.108,242,-0.835,32862,23775
218,Guardian Life Ins. Co. of America,8876,226,12919,0.023,263.9,-0.357,70339,-
219,Ross Stores,78600,237,12867,0.078,1117.7,0.095,5309,25814
220,L Brands,59100,234,12574,0.035,1158.1,-0.076,8170,13426
221,J.C. Penney,"1,06,000",228,12547,-0.006,1,-,9314,1901
222,Farmers Insurance Exchange,13309,227,12513,-0.009,-147.9,-,16057,-
223,Reynolds American,5525,266,12503,0.171,6073,0.867,51095,89862
224,Viacom,9650,213,12488,-0.059,1438,-0.252,22508,18503
225,Becton Dickinson,50928,278,12483,0.214,976,0.404,25586,39041
226,Micron Technology,31400,173,12399,-0.234,-276,-1.095,27540,31972
227,Principal Financial,14854,236,12394,0.036,1316.5,0.067,"2,28,014",18143
228,Alcoa,41500,126,12394,-0.45,-941,-,20038,11604
229,NRG Energy,8763,193,12351,-0.158,-774,-,30355,5911
230,VF,69000,231,12207,-0.014,1074.1,-0.128,9739,22786
231,Devon Energy,3545,216,12197,-0.072,-3302,-,25913,21886
232,D.R. Horton,6976,260,12157,0.123,886.3,0.181,11559,12438
233,Bed Bath & Beyond,62000,238,12104,0.019,841.5,-0.121,6499,5931
234,Consolidated Edison,14960,229,12075,-0.038,1245,0.044,48255,23708
235,Edison International,12390,246,11869,0.03,1311,0.285,51319,25938
236,Sherwin-Williams,42550,253,11856,0.046,1132.7,0.075,6753,28891
237,NGL Energy Partners,3200,167,11742,-0.301,-198.9,-6.332,5560,2686
238,Dominion Resources,16200,243,11737,0.005,2123,0.118,71610,48732
239,Ameriprise Financial,13195,232,11735,-0.038,1314,-0.159,"1,39,821",19953
240,ADP,57000,248,11668,0.017,1492.5,0.028,43670,45963
241,Hilton Worldwide Holdings,"1,69,000",254,11663,0.035,348,-0.752,26211,19276
242,First Data,24000,249,11584,0.012,420,-,40292,14224
243,Henry Schein,21000,268,11572,0.089,506.8,0.058,6730,13461
244,Toys ÒRÓ Us,64000,240,11540,-0.022,-36,-,6908,-
245,BB&T Corp.,37500,273,11538,0.115,2426,0.164,"2,19,276",36141
246,Reinsurance Group of America,2371,271,11522,0.106,701.4,0.397,53098,8169
247,Core-Mark Holding,7688,317,11507,0.299,54.2,0.052,1497,1445
248,Biogen,7400,263,11449,0.064,3702.8,0.044,22877,59046
249,Las Vegas Sands,49000,241,11410,-0.024,1670,-0.151,20469,45313
250,Stanley Black & Decker,54023,256,11407,0.017,965.3,0.092,15635,20280
251,Parker-Hannifin,48950,224,11361,-0.106,806.8,-0.203,12057,21370
252,Stryker,33000,287,11325,0.139,1647,0.145,20435,49115
253,Estee Lauder,46000,261,11262,0.045,1114.6,0.024,9223,31068
254,Celgene,7132,305,11229,0.213,1999.2,0.248,28086,96802
255,BlackRock,13000,250,11155,-0.022,3172,-0.052,"2,20,177",62225
256,Xcel Energy,11476,257,11107,0.007,1123.4,0.141,41155,22546
257,CSX,26628,239,11069,-0.063,1714,-0.129,35414,43126
258,Unum Group,9400,265,11047,0.029,931.4,0.074,61942,10749
259,Jacobs Engineering Group,49350,235,10964,-0.095,210.5,-0.305,7360,6693
260,Lennar,8335,301,10950,0.156,911.8,0.136,15362,12002
261,Group 1 Automotive,13500,267,10888,0.024,147.1,0.565,4462,1584
262,Leucadia National,13000,242,10875,-0.069,130,-0.542,45071,9355
263,Entergy,13513,247,10846,-0.058,-583.6,-,45904,13685
264,PayPal Holdings,18100,307,10842,0.172,1401,0.141,33103,51650
265,Applied Materials,16150,295,10825,0.121,1721,0.25,14588,42005
266,Voya Financial,6700,252,10782,-0.049,-428,-2.048,"2,14,235",7191
267,MasterCard,11900,294,10776,0.115,4059,0.066,18675,"1,21,234"
268,Priceline Group,18500,308,10743,0.165,2135,-0.163,19839,87522
269,Liberty Interactive,21080,284,10647,0.066,1235,0.421,20355,9101
270,AutoZone,66780,280,10636,0.044,1241,0.07,8600,20540
271,State Street Corp.,33783,264,10635,-0.012,2143,0.082,"2,42,698",30406
272,DTE Energy,10000,274,10630,0.028,868,0.194,32041,18317
273,L-3 Communications,38000,245,10597,-0.083,710,-,11865,12859
274,HollyFrontier,2676,214,10536,-0.204,-260.5,-1.352,9436,5048
275,Praxair,26498,262,10534,-0.022,1500,-0.03,19332,33834
276,Universal Health Services,70863,290,10508,0.074,702.4,0.032,10318,12022
277,Discover Financial Services,15549,283,10497,0.049,2393,0.042,92308,26255
278,Occidental Petroleum,11000,225,10398,-0.181,-574,-,43109,48444
279,United States Steel,29800,244,10261,-0.113,-440,-,9160,5893
280,Sempra Energy,16575,279,10183,-0.005,1370,0.016,47786,27692
281,Baxter International,48000,286,10163,0.02,4965,4.129,15546,28106
282,W.W. Grainger,25000,285,10137,0.016,605.9,-0.212,5694,13668
283,Autoliv,65900,310,10074,0.099,567.1,0.241,8234,9032
284,Norfolk Southern,27856,270,9888,-0.059,1668,0.072,34892,32515
285,Baker Hughes,33000,178,9841,-0.375,-2738,-,19034,25444
286,Ally Financial,7600,298,9835,0.031,1067,-0.172,"1,63,728",9437
287,Sonic Automotive,9800,297,9732,0.011,93.2,0.08,3639,900
288,Owens & Minor,7900,291,9723,-0.005,108.8,0.052,2718,2114
289,Huntsman,15000,277,9657,-0.062,326,2.505,9189,5880
290,Laboratory Corp. of America,52000,325,9642,0.111,732.1,0.676,14247,14696
291,Murphy USA,6600,258,9633,-0.115,221.5,0.256,2089,2706
292,Advance Auto Parts,57500,293,9568,-0.017,459.6,-0.029,8315,10944
293,Fidelity National Financial,55219,311,9554,0.046,650,0.233,14463,10600
294,Air Products & Chemicals,18450,288,9524,-0.037,631.1,-0.506,18055,29438
295,Hormel Foods,21100,304,9523,0.028,890.1,0.297,6370,18316
296,Hertz Global Holdings,36000,269,9480,-0.1,-491,-2.799,19155,1456
297,MGM Resorts International,66500,309,9455,0.029,1101.4,-,28173,15733
298,Corning,40700,313,9390,0.031,3695,1.76,27899,25030
299,Republic Services,33000,312,9388,0.03,612.6,-0.183,20630,21312
300,Alcoa,14000,,9318,-,-400,-,16741,6337
301,Fidelity National Information Services,55000,392,9241,0.401,568,-0.101,26031,26178
302,Pacific Life,3628,326,9169,0.061,824,0.247,"1,43,298",-
303,SunTrust Banks,24375,329,9161,0.074,1878,-0.028,"2,04,875",27175
304,LKQ,42500,369,9082,0.263,464,0.096,8303,9021
305,BorgWarner,27000,339,9071,0.131,118.5,-0.806,8835,8895
306,Ball,18450,341,9061,0.133,263,-0.064,16173,13000
307,CST Brands,12380,299,9061,-0.046,324,1.174,4360,3645
308,Public Service Enterprise Group,13065,272,9061,-0.13,887,-0.472,40070,22451
309,Eastman Chemical,14000,296,9008,-0.066,854,0.007,15457,11783
310,eBay,12600,300,8979,-0.054,7266,3.212,23847,36232
311,Mohawk Industries,37800,338,8959,0.11,930.4,0.512,10231,17025
312,Oneok,2384,348,8921,0.149,352,0.437,16139,11684
313,Frontier Communications,28332,461,8896,0.595,-373,-,29013,2521
314,Netflix,3850,379,8831,0.303,186.7,0.522,13587,63619
315,American Family Insurance Group,10471,332,8829,0.066,325.6,-0.531,22662,-
316,Thrivent Financial for Lutherans,3282,318,8777,-0.001,587.8,-0.236,88561,-
317,Expedia,20075,385,8774,0.315,281.8,-0.631,15778,18901
318,Lithia Motors,11170,346,8678,0.103,197.1,0.077,3844,2156
319,Avis Budget Group,25600,330,8659,0.018,163,-0.479,17643,2528
320,Reliance Steel & Aluminum,14500,303,8613,-0.079,304.3,-0.023,7411,5830
321,GameStop,41750,302,8608,-0.081,353.2,-0.123,4976,2282
322,Tenneco,31000,334,8599,0.048,363,0.47,4342,3390
323,OÕReilly Automotive,58397,342,8593,0.079,1037.7,0.114,7204,24730
324,Peter Kiewit SonsÕ,20000,314,8573,-0.047,396,0.578,6179,-
325,United Natural Foods,9554,335,8470,0.035,125.8,-0.093,2852,2187
326,salesforce.com,25000,386,8392,0.259,179.6,-,17585,58362
327,Boston Scientific,27000,359,8386,0.122,347,-,18096,34046
328,Newmont Mining,12438,349,8379,0.084,-627,-3.85,21031,17518
329,Genworth Financial,3400,306,8369,-0.095,-277,-,"1,04,658",2056
330,Live Nation Entertainment,11500,366,8355,0.153,2.9,-,6764,6219
331,Veritiv,8700,323,8327,-0.045,21,-0.213,2484,813
332,News Corp.,24000,327,8319,-0.036,179,-,15483,7559
333,Crown Holdings,23992,321,8284,-0.055,496,0.262,9599,7367
334,Global Partners,1770,276,8240,-0.201,-199.4,-5.578,2564,663
335,PVH,26650,340,8203,0.023,549,-0.041,11068,8092
336,Level 3 Communications,12600,333,8172,-0.007,677,-0.803,24888,20638
337,Navistar International,11300,281,8111,-0.2,-97,-,5653,2416
338,Univar,8700,315,8074,-0.101,-68.4,-5.145,5390,4293
339,Campbell Soup,16500,337,7961,-0.015,563,-0.185,7837,17423
340,DickÕs Sporting Goods,27550,365,7922,0.09,287.4,-0.13,4058,5489
341,Weyerhaeuser,10400,373,7902,0.116,1027,1.03,19243,25451
342,Mutual of Omaha Insurance,5732,367,7899,0.092,356.6,0.071,38465,-
343,Chesapeake Energy,3300,223,7872,-0.383,-4401,-,13028,5394
344,Anadarko Petroleum,4500,324,7869,-0.095,-3071,-,45564,34640
345,Interpublic Group,49800,355,7847,0.031,608.5,0.339,12485,9648
346,J.M. Smucker,6910,452,7811,0.372,688.7,0.997,15984,15263
347,Steel Dynamics,7695,356,7777,0.024,382.1,-,6424,8425
348,Foot Locker,32965,361,7766,0.048,664,0.227,3840,9818
349,Western Refining,7134,289,7743,-0.209,124.9,-0.693,5560,3812
350,SpartanNash,11500,351,7735,0.011,56.8,-0.094,1930,1313
351,Dean Foods,17000,336,7710,-0.051,119.9,-,2606,1786
352,Zimmer Biomet Holdings,18500,431,7684,0.281,305.9,1.081,26684,24571
353,PulteGroup,4623,433,7669,0.282,602.7,0.22,10178,7466
354,W.R. Berkley,7608,368,7654,0.062,601.9,0.195,23365,8561
355,Quanta Services,28100,352,7651,0.002,198.4,-0.362,5354,5386
356,EOG Resources,2650,322,7651,-0.126,-1096.7,-,29459,56302
357,Charles Schwab,16200,401,7644,0.176,1889,0.305,"2,23,383",54555
358,Eversource Energy,7762,343,7639,-0.04,942.3,0.073,32053,18627
359,Anixter International,8900,391,7625,0.156,120.5,-0.056,4094,2626
360,EMCOR Group,31000,381,7552,0.123,181.9,0.056,3894,3756
361,Assurant,14700,275,7532,-0.271,565.4,2.994,29709,5298
362,CenterPoint Energy,7727,363,7528,0.019,432,-,21829,11882
363,Harris,21000,505,7527,0.481,324,-0.03,11996,13849
364,HD Supply Holdings,14000,320,7524,-0.143,196,-0.867,5707,8296
365,PPL,12689,350,7517,-0.02,1902,1.789,38315,25448
366,Quest Diagnostics,43000,358,7515,0.003,645,-0.09,10100,13501
367,Williams,5604,364,7499,0.019,-424,-,46835,24436
368,WEC Energy Group,8074,437,7472,0.261,939,0.471,30123,19134
369,Hershey,17140,362,7440,0.007,720,0.404,5524,23236
370,AGCO,19795,360,7411,-0.008,160.1,-0.399,7168,4783
