,title,overview,original_language,release_date,popularity,vote_count,vote_average
32,Tenet,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",en,2020-08-22,48.498,7791,7.2
33,Man on Fire,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.",en,2004-04-23,48.479,4332,7.4
34,Child's Play,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",en,1988-11-09,48.476,2395,6.7
35,Goblin Slayer: Goblin's Crown,"Goblin Slayer and his party head up to the snowy mountains in the north after receiving that request from the Sword Maiden to find any information on the Noble Fencer that disappeared after leaving to slay some goblins. A small village gets attacked, they encounter a mysterious chapel, and something about how these goblins are acting bothers the Goblin slayer.  In order to save the captured Noble Fencer, the Goblin Slayer and his party head to an ancient fortress covered in snow to face off with a powerful foe and a horde of goblins!",ja,2020-02-01,48.421,178,7.6
36,Exodus: Gods and Kings,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",en,2014-12-03,48.412,4054,5.8
37,Men in Black 3,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",en,2012-05-23,48.405,9152,6.5
38,One Hundred and One Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement. In a Disney animation classic, Dalmatian Pongo is tired of his bachelor-dog life. He spies lovely Perdita and maneuvers his master, Roger, into meeting Perdita's owner, Anita. The owners fall in love and marry, keeping Pongo and Perdita together too. After Perdita gives birth to a litter of 15 puppies, Anita's old school friend Cruella De Vil wants to buy them all. Roger declines her offer, so Cruella hires the criminal Badun brothers to steal them -- so she can have a fur coat.",en,1961-01-25,48.397,5464,7.2
39,My Best Friend's Exorcism,"The year is 1988. Abby and Gretchen have been best friends since fourth grade. After an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act…different, which leads Abby to suspect her best friend may be possessed by a demon. With help from some unlikely allies, Abby embarks on a quest to save Gretchen. But is their friendship powerful enough to beat the devil?",en,2022-09-29,67.754,124,6.0
40,Hocus Pocus,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",en,1993-07-16,48.228,2528,7.1
41,Crank: High Voltage,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.,en,2009-04-16,48.224,2378,6.0
42,The Burning Sea,"An oil platform dramatically goes down on the Norwegian coast, and researchers try to find out what happened when they realize this is just the start of something even more serious.",no,2021-10-29,48.112,112,6.7
43,Lilo & Stitch,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.",en,2002-06-21,48.076,5246,7.5
44,Fate/kaleid liner Prisma☆Illya: Licht Nameless Girl,"The Ainsworth family's goal is to save the world from evil, but their success depends on the great sacrifice Magical Girl Miyu makes for them. Her brother Shirou, however, is not willing to let the family have his sister without a fight. That’s why he doggedly searches for a way to save not only the world but also Miyu...",ja,2021-08-27,51.001,0,0.0
45,See How They Run,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard and eager rookie Constable Stalker take on the case, the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground, investigating the mysterious homicide at their own peril.",en,2022-09-09,48.822,401,6.6
46,Naruto Shippuden the Movie: Bonds,"A mysterious group of ninjas makes a surprise attack on the Konohagakure, which takes great damage. The nightmare of another Shinobi World War could become a reality. Sasuke, who was still a missing nin from Konoha trying to kill his brother, Itachi, appears for the second time in front of Naruto at an unknown location to prevent it from happening.",ja,2008-08-02,48.068,341,7.2
47,Dragon Ball Z: Lord Slug,A Super Namekian named Slug comes to invade Earth. But the Z Warriors do their best to stop Slug and his gang.,ja,1991-03-19,48.055,425,6.4
48,The Purge: Election Year,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",en,2016-06-29,48.007,4674,6.4
49,Seed of Chucky,"This time around, Chucky and his homicidal honey, Tiffany, are brought back to life by their orphan offspring, Glen. Then the horror goes Hollywood as Chucky unleashes his own brand of murderous mayhem!",en,2004-11-12,47.996,1292,5.4
50,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",en,2012-12-25,47.925,23323,8.2
51,Taken,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",en,2008-02-18,47.889,9858,7.4
52,The Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,fr,2011-11-02,47.876,15198,8.3
53,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",en,1985-07-03,47.752,17235,8.3
54,Brother Bear,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",en,2003-10-23,47.748,4692,7.2
55,Asking For It,"After small town waitress Joey is sexually assaulted after a date with her old friend Mike, she befriends mysterious stranger Regina. Regina introducers her to The Cherry Bombers, an all femme gang including Beatrice, Lily, Sal, Jett, Angie, and Fala. All suffering from past traumas, together they fight a misogynistic society by targeting violent frat boys, a corrupt police force of human traffickers led by Sheriff Morel, and the dangerous alt-right group MFM (Men’s First Movement) headed by Mark Vanderhill. As Joey is drawn further into their chaotic world, Sal’s old flame, Logan County Sheriff Vernon, investigates MFM, leading to a thrilling showdown.",en,2022-03-04,46.736,17,5.6
56,Men in Black,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",en,1997-07-02,47.707,12074,7.2
57,Dragon Ball Z: Super Android 13!,"Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegeta defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him.",ja,1992-07-11,47.701,421,6.7
58,The Remaining,"When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.",en,2014-08-25,47.641,292,5.8
59,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",en,2021-02-24,47.611,1910,6.7
60,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",en,2021-02-24,47.611,1910,6.7
61,Mortal Kombat Legends: Battle of the Realms,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",en,2021-08-30,47.503,310,7.8
62,"Yes, No, or Maybe Half?","Kunieda Kei is a popular, young TV announcer whose public and private personas are so different, they might be called extreme. On the outside, he is the picture of perfection, affectionately nicknamed ""The Prince,"" while on the inside he is constantly cursing at all of the incompetence around him. Of course, no one knows this secret of his.  One day, Kei meets animation artist Tsuzuki Ushio for a work assignment. While Kei is in ""inside mode,"" he later runs into Tsuzuki, who doesn't recognize him in his worn-out sweats and a facemask, but as compensation for injuring Tsuzuki's arm, Kei gets roped into helping out with his work.",ja,2020-12-11,47.412,29,7.2
63,Dinosaur,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,en,2000-05-19,47.412,2132,6.5
64,Good Will Hunting,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",en,1997-12-05,47.385,10132,8.1
65,Sweet Girl,"A man vows to bring justice to those responsible for his wife's death while protecting the only family he has left, his daughter.",en,2021-08-18,47.382,998,6.7
66,High School Girl Story Indecent Fruit,,ja,1997-10-10,47.351,0,0.0
67,Liao Zhai - Home for the Intimate Ghosts,"Very seldom shown erotic story of a cuckolded husband who departs his home and unwittingly becomes included with not one, but two, alluring ghosts. [Rim movies Catalog] Mandy and his spouse (that's right, Mandy is a man) will be an uncommon few under any conditions. Mandy fools around with young women while his spouse is within the home, nevertheless the wife isn't bothered a lot. She is just considering in the job she's offered Mandy, which is .... to frequently check with the neighborhood brothelkeeper, and find away if she's found guys with incredibly difficult manhoods. How hard ? Complicated enough to punch an opening in a sack of grain (ouch !). And one more thing. Mandy and his wife are ghosts. Of course, this means you will find people who are seeking to exorcise them. In between residential disputes and pursued exorcisms, there's acres of nudity and lots of sex.",zh,1991-01-01,47.336,1,1.0
68,Snake Island Python,"A group of people searching for a magical tree in a mysterious jungle, find they are not alone. Something is watching them, waiting for the perfect moment to strike.",zh,2022-02-24,55.255,3,7.5
69,Krampus,"When his dysfunctional family clashes over the holidays, young Max is disillusioned and turns his back on Christmas.  Little does he know, this lack of festive spirit has unleashed the wrath of Krampus: a demonic force of ancient evil intent on punishing non-believers.",en,2015-11-26,47.311,1738,6.1
70,Babylon,"A tale of outsized ambition and outrageous excess, tracing the rise and fall of multiple characters in an era of unbridled decadence and depravity during Hollywood's transition from silent films and to sound films in the late 1920s.",en,2022-12-23,47.292,0,0.0
71,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,en,2015-11-14,47.272,4828,6.7
72,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",en,2006-09-13,47.249,3868,7.3
73,Office Love: Behind Closed Doors,"Reiko is a high class call girl employed by a large corporation. She’ll do anything necessary to help her employer land new business, including kinky sex and humiliation, to please her high class clientele. Secretly bedding rival company executives on her own time, Reiko’s world turns upside down when a former lover comes back to her for affection. The problem is he’s married! With yet another shy employee vying for her attention, Reiko gets caught in a triple tryst that could change her future forever.",ja,1985-07-20,47.232,5,3.6
74,One Piece Film: GOLD,"The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike.",ja,2016-07-23,47.192,378,7.3
75,Rambo,"When governments fail to act on behalf of captive missionaries, ex-Green Beret John James Rambo sets aside his peaceful existence along the Salween River in a war-torn region of Thailand to take action.  Although he's still haunted by violent memories of his time as a U.S. soldier during the Vietnam War, Rambo can hardly turn his back on the aid workers who so desperately need his help.",en,2008-01-24,47.188,3241,6.6
76,Knock Knock,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",en,2015-06-26,47.136,2652,5.3
77,Hitman: Agent 47,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,en,2015-08-20,47.115,2630,5.8
78,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",en,2011-08-09,47.084,6824,8.2
79,Puss in Boots: The Three Diablos,"Puss in Boots is on a mission to recover the Princess' stolen ruby from the notorious French thief, Whisperer. Reluctantly accompanied by three little kittens, Three Diablos, Puss must tame them before they endanger the mission.",en,2012-02-07,47.075,358,6.5
80,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",en,1995-09-22,47.071,17976,8.4
81,Annabelle Comes Home,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",en,2019-06-26,47.018,2917,6.4
82,Shooter,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why??",en,2007-03-22,46.988,4042,7.1
83,ESTERTOR,"Four employees assist a genocidal man who is under house arrest because he suffers from Alzheimer's disease. Motivated by boredom, apathy and job precariousness, they find amusement in harassing the oppressor.",es,2022-11-17,55.931,2,4.0
84,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",en,2017-02-08,46.879,6930,6.5
85,The Santa Clause,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas.",en,1994-11-11,46.877,1683,6.4
86,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",en,2016-11-15,46.835,15526,7.3
87,Scary Movie 5,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",en,2013-04-11,46.835,2430,4.8
88,The Mystic Nine: Begonia from Qingshan,"At the beginning of the 20th century, Zhang Qi Shan and his father were subject to experimentation by the traitor Zuo Qian Zhi. Ten years later, Zhang Qi Shan seeks his revenge. He arrives in Changsha for the first time and meets Er Yue Hong. The two join forces to go against Zuo Qian Zhi and the monster that threatens the city.",zh,2022-02-10,56.736,5,4.4
89,Paranormal Activity: Next of Kin,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",en,2021-10-29,46.821,460,6.4
90,Delicious Room Salon Service,"A room salon isn't doing well. There's only Min-joo on duty. One day, a beautiful girl called Joo-hee comes looking for a job and Min-joo and her boss gets her to work as a call-girl. The store soon becomes famous for its luxurious treatment and service and sales increase. The owner suggests they move up to Gangnam and they all get excited...",ko,2018-08-09,46.751,1,7.0
91,Sonic the Hedgehog 3,"The third film in the ""Sonic the Hedgehog"" franchise.",en,2024-12-19,45.789,0,0.0
92,Never Back Down: No Surrender,"Picking up after the events of Never Back Down 2, former MMA champion Case Walker is on the comeback trail to become champion once again.",en,2016-06-05,46.73,387,7.0
93,The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",en,2010-08-03,46.719,6778,6.2
94,Wrong Turn 4: Bloody Beginnings,"A group of friends take refuge in a deserted sanatorium after they are left stranded in a snowstorm. Later, the place becomes a death trap when man-eating cannibals surround them.",en,2011-10-17,46.706,874,5.7
95,Two Many Chefs,"Mikel, a young cook, meets with his father Juan, who had been missing for 30 years. While trying to keep his restaurant afloat, Mikel has to take care of crazed Juan, a former cook who suffers from a mental condition that prevents him from recognizing neither the aforementioned time gap nor his son Mikel.",es,2022-09-16,65.348,10,6.6
96,Predators,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,en,2010-07-03,46.666,3448,6.2
97,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",en,2023-03-15,46.621,0,0.0
98,Resurrection,"A woman’s carefully constructed life is upended when an unwelcome shadow from her past returns, forcing her to confront the monster she’s evaded for two decades.",en,2022-07-29,44.236,72,6.1
99,Evangelion: 3.0+1.0 Thrice Upon a Time,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",ja,2021-03-08,46.538,592,8.4
100,Larva Pendant,"This silly short-film sequel to ""Larva Island"" and ""The Larva Island Movie"" follows farting friends Red and Yellow's bumbling misadventures in the city.",ko,2022-05-25,50.176,70,7.2
101,The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when a long-time girl friend is murdered.",en,2018-07-19,46.507,4190,6.7
