"name","description","make","model","type","year","price","engine","cylinders","fuel","mileage","transmission","trim","body","doors","exterior_color","interior_color","drivetrain"
"2024 Jeep Compass Latitude","24/32 City/Highway MPG2024 Jeep Compass Latitude 4WD 8-Speed Automatic 2.0L I4 DOHC Baltic Gray Metallic Clearcoat4WD.We pride ourselves on offering a no-hassle car shopping experience, so that you will never feel pressured when visiting our family of dealerships.  We look forward to serving you!","Jeep","Compass","New","2024","37743","16V GDI DOHC Turbo","4","Gasoline","0","8-Speed Automatic","Latitude","SUV","4","Metallic","Black","Four-wheel Drive"
"2024 RAM 3500 Tradesman","
      
        Granite Crystal Metallic Clearcoat 2024 Ram 3500 Tradesman 4WD 6-Speed Automatic I6 CLEAN AND SANITIZED, Located in Whitesboro, TX. Call Today (903) 487-2929.Equipped with Protection Group, Quick Order Package 2HA Tradesman, Tradesman Level 2 Equipment Group (2 Way Rear Headrest Seat, 4 Way Front Headrests, 40/20/40 Split Bench Seat, Black Exterior Mirrors, Carpet Floor Covering, Cloth 40/20/40 Bench Seat, Exterior Mirrors Courtesy Lamps, Exterior Mirrors w/Heating Element, Exterior Mirrors w/Supplemental Signals, Front & Rear Floor Mats, Front Armrest w/Cupholders, Manual Adjust 4-Way Driver Seat, Manual Adjust 4-Way Front Passenger Seat, Manual Folding Exterior Mirrors, Manual Telescoping Mirrors, Mirror Running Lights, Power Adjust Mirrors, Power Heat Fold Telescopic Mirrors, Power-Adjustable Convex Aux Mirrors, Rear Folding Seat, Rear Window Defroster, Remote USB Port - Charge Only, and Storage Tray), 3.73 Axle Ratio, 4-Wheel Disc Brakes, 5th Wheel/Gooseneck Towing Prep Group, 6 Speakers, 6000# Front Axle w/Hub Ext, ABS brakes, Active Noise Control System, Air Conditioning, AM/FM radio, Box & Rear Fender Clearance Lamps, Brake assist, Center Hub, Clearance Lamps, Compass, Delay-off headlights, Driver door bin, Dual front impact airbags, Dual front side impact airbags, Dual Rear Wheels, Electronic Stability Control, Electronically Controlled Throttle, Emergency communication system: SiriusXM Guardian, For Details Visit DriveUconnect.com, Front anti-roll bar, Front Center Armrest w/Storage, Front License Plate Bracket, Front reading lights, Fully automatic headlights, Global Telematics Box Module (TBM), GPS Antenna Input, HD Vinyl 40/20/40 Split Bench Seat, Illuminated entry, Integrated Voice Command w/Bluetooth, Low tire pressure warning, MOPAR Spray In Bedliner, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, ParkView Rear Back-Up Camera, Passenger door bin, Passenger vanity mirror, Power steering, Power windows, Radio data system, Radio: Uconnect 3 w/5' Display, Rear step bumper, Rear Wheelhouse Liners, Speed control, Tachometer, Tilt steering wheel, Tip Start, Traction control, Variably intermittent wipers, Voltmeter, Wheels: 17' x 6.0' Steel Argent, and Wheels: 18' x 8.0' SteeL.The sales staff at Freedom Chrysler Dodge Jeep Ram North in Sherman Texas, proudly offers a huge selection of New Cars, Trucks and SUVs in North, TX. Our experienced sales staff can point you in the right direction based on your individual vehicle needs. We also offer competitive financing, top tier service and a fully stocked inventory. Call us today @ 903-893-0144 or visit www.freedomchrylserdodgejeepramnorth.com.
      
    ","RAM","3500","New","2024","60904","oled Turbo Diesel I-6 6.7 L/408","6","Diesel","532","Automatic","Tradesman","Pickup Truck","4","Granite Crystal Metallic Clearcoat","Black","Four-wheel Drive"
"2024 Hyundai Santa Cruz 2.5T Limited","
      
        Atlas White 2024 Hyundai Santa Cruz Limited AWD Shiftronic 2.5L I419/27 City/Highway MPGMastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Central New York completely satisfied with your experience at Mastrovito Hyundai. Whether we can amaze you with incredible new and pre-owned vehicle selection, our dedication to incredible customer service or our transparent and accommodating auto loan and lease options, we look forward to serving you at Mastrovito Hyundai.
      
    Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Manlius completely satisfied with your experience at Mastrovito Hyundai.","Hyundai","Santa Cruz","New","2024","43419","16V PDI DOHC Turbo","4","Gasoline","1","8-Speed Automatic with Auto-Shift","2.5T Limited","Pickup Truck","4","Atlas","Dark Gray","All-wheel Drive"
"2024 Jeep Grand Cherokee Altitude","
      
        Check out this 2024! Demonstrating that economical transportation does not require the sacrifice of comfort or safety! All of the premium features expected of a Jeep are offered, including: heated door mirrors, an overhead console, and more. We pride ourselves in the quality that we offer on all of our vehicles. Please don't hesitate to give us a call.
      
    ","Jeep","Grand Cherokee","New","2024","44022","ar 3.6L V-6 DOHC, variable valve control, regular unleade","6","Gasoline","12","Automatic","Altitude","SUV","4","Baltic Gray Metallic Clearcoat","Global Black","Four-wheel Drive"
"2024 Chevrolet Blazer EV 2LT","
      
        Sterling Gray Metallic 2024 Chevrolet Blazer EV LT 2LT AWD 1-Speed Automatic Electric Motor Proudly serving Longmont, Boulder, Denver, Loveland, Erie, Fort Collins, Thornton, Westminster, Lakewood, Broomfield, Golden, Brighton, and Greeley. 103/88 City/Highway MPG Awards:  Motor Trend SUV of the Year
      
    ","Chevrolet","Blazer EV","New","2024","51695","c",,"Electric","4","1-Speed Automatic","2LT","SUV","4","Sterling Gray Metallic","Black","All-wheel Drive"
"2024 Hyundai Santa Cruz 2.5T XRT","Priced below KBB Fair Purchase Price! 19/27 City/Highway MPGWhen you do the math, you choose McGrath!!!","Hyundai","Santa Cruz","New","2024","38574","16V PDI DOHC Turbo","4","Gasoline","12","8-Speed Automatic with Auto-Shift","2.5T XRT","Pickup Truck","4","Blue Stone","Black","All-wheel Drive"
"2024 Nissan Murano Platinum","
      
        Scores 28 Highway MPG and 20 City MPG! This Nissan Murano boasts a Regular Unleaded V-6 3.5 L/213 engine powering this Variable transmission. DEEP OCEAN BLUE PEARL, CASHMERE, SEMI-ANILINE LEATHER-APPOINTED SEAT TRIM -inc: diamond-quilted inserts, [R92] SPORT PEDALS. This Nissan Murano Features the Following Options [M92] CARGO PACKAGE -inc: Cargo Area Protector, Retractable Cargo Cover, Cargo Net, First Aid Kit , [N11] ILLUMINATED KICK PLATES, [N10] ILLUMINATED KICK PLATES -inc: VPC installed accessory, [L92] CARPETED FLOOR MATS CARPETED CARGO MAT, [B93] REAR BUMPER PROTECTOR, [B92] SPLASH GUARDS (B92), Window Grid And Roof Mount Diversity Antenna, Wi-Fi Hotspot Selective Service Internet Access, Wheels: 20 Unique Dark Hyper Silver, Valet Function. Visit Us Today A short visit to Gates GMC Nissan Buick located at 143 Boston Post Rd, North Windham, CT 06256 can get you a dependable Murano today! - For more information on this or any other Gates GMC Nissan vehicle go to www.gatesgmcnissan.com.#gatesgetsit #wetakeanythingintrade #goatsboatstrainsplanes #2yrsfreemaintenance. Price includes all manufacturer rebates.
      
    Goats, Boats, Trains, and Planes. You Name It, We Will Trade It. Here at Gates GMC Buick Nissan and NV. First 4 Oil Changes are included with the purchase of any new and pre-owned vehicle. Give us a call today at 800-917-5916","Nissan","Murano","New","2024","48000","24V MPFI DOHC","6","Gasoline","87","Automatic CVT","Platinum","SUV","4","Deep Ocean Blue","Beige","All-wheel Drive"
"2024 Ford Explorer Timberline","Star White Metallic Tri-Coat 2024 Ford Explorer Timberline 4WD 10-Speed Automatic 2.3L EcoBoost I-4 4WD.","Ford","Explorer","New","2024","53190","16V GDI DOHC Turbo","4","Gasoline","15","10-Speed Automatic","Timberline","SUV","4","Star White","Ebony","Four-wheel Drive"
"2024 Volkswagen Taos 1.5T SE","Blue 2024 Volkswagen Taos 1.5T SE AWD 7-Speed DSG Automatic with Tiptronic 1.5L I4 Turbocharged DOHC 16V LEV3-SULEV30 158hp24/32 City/Highway MPG","Volkswagen","Taos","New","2024","32751","4 gasoline direct injection, DOHC, variable valve control","4","Gasoline","25","7-Speed DSG Automatic with Tiptronic","1.5T SE","SUV","4","Blue","Black Cloud","All-wheel Drive"
"2024 Volkswagen Jetta 1.4T S","
      
        Text Bryan Franks @ 256-333-91052024 VW Jetta 1.5T Sport in Pyrite Silver Metallic exterior with Titan Black cloth interiorMonster Mats® (set of 4) & Heavy Duty Trunk Liner w/ VW CarGo Blocks $296.00VW Care: Prepaid Scheduled Maintenance Contract w/ 30,000-mile servicing for Sedans/Hatchbacks $195.00First Aid Kit & Roadside Assistance Kit $110.00Displayed selling price requires financing new vehicle through a Hiley Volkswagen of Huntsville preferred lender at the dealership choosing. Subject to credit approval. This offer cannot be combine with special financing rates if available. This offer cannot be combined with lease offers. Additional bonus available for Military/First Responders and recent College Graduates (not all will qualify). Pricing excludes taxes, title, fees, and accessories.
      
    ","Volkswagen","Jetta","New","2024","24348","4 gasoline direct injection, DOHC, variable valve control","4","Gasoline","13","8-Speed Automatic with Tiptronic","1.4T S","Sedan","4","Pyrite Silver Metallic","Titan Black","Front-wheel Drive"
"2024 RAM 3500 Tradesman","
      
        Bright White Clearcoat 2024 Ram 3500 Tradesman 4WD Aisin 6-Speed Automatic 6.7L 6-Cylinder Diesel Turbocharged OHV CLEAN AND SANITIZED, Located In Whitesboro, TX.
      
    ","RAM","3500","New","2024","65221","oled Turbo Diesel I-6 6.7 L/408","6","Diesel","344","Automatic","Tradesman","Pickup Truck","4","Bright White Clearcoat","Black","Four-wheel Drive"
"2024 Dodge Hornet R/T","
      
        This Dodge won't be on the lot long! It delivers style and power in a single package! A turbocharger is also included as an economical means of increasing performance. We have a skilled and knowledgeable sales staff with many years of experience satisfying our customers needs. They'll work with you to find the right vehicle at a price you can afford. Please don't hesitate to give us a call.
      
    ","Dodge","Hornet","New","2024","39491","16V GDI DOHC Turbo Hybrid","4","Hybrid","5","6-Speed Automatic","R/T","SUV","4","HOT TAMALE","Black","All-wheel Drive"
"2024 Hyundai Tucson SEL","White Pearl,Lane Keeping Assist,Keyless Start,Rear Spoiler,Black; Seat Trim","Hyundai","Tucson","New","2024","30305","16V PDI DOHC","4","Gasoline","11","8-Speed Automatic","SEL","SUV","4","White Pearl","Black","Front-wheel Drive"
"2024 GMC Terrain Denali","","GMC","Terrain","New","2024","44120","4 gasoline direct injection, DOHC, variable valve control","4","Gasoline","0","Automatic","Denali","SUV","4","Ebony","Jet Blk","All-wheel Drive"
"2024 Hyundai Santa Cruz 2.5L SEL","
      
        Blue Stone 2024 Hyundai Santa Cruz SEL AWD 8-Speed Automatic with SHIFTRONIC 2.5L I4Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Central New York completely satisfied with your experience at Mastrovito Hyundai. Whether we can amaze you with incredible new and pre-owned vehicle selection, our dedication to incredible customer service or our transparent and accommodating auto loan and lease options, we look forward to serving you at Mastrovito Hyundai.
      
    Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Manlius completely satisfied with your experience at Mastrovito Hyundai.","Hyundai","Santa Cruz","New","2024","33160","16V PDI DOHC","4","Gasoline","1","8-Speed Automatic","2.5L SEL","Pickup Truck","4","Blue Stone","Black","All-wheel Drive"
"2024 Ford Explorer XLT","All Fords are created equal at Bolton Ford our people make the difference!","Ford","Explorer","New","2024","40940","16V GDI DOHC Turbo","4","Gasoline","7","10-Speed Automatic","XLT","SUV","4","Star White","Ebony","Rear-wheel Drive"
"2024 Jeep Compass Limited","
      
        $2,437 off MSRP! Buy with confidence knowing you have our $500 Best Price Guarantee: Simply put, no other dealer will beat our price on any of our in-stock units. Price does not include Tax, Title, License, Destination Fee and $229 Documentation Fee. Factory MSRP: $35,935Price includes $99 wheel locks, $299 Pulse, $399 Waypoint, and $149 Door edge guard & cup protector2024 Jeep Compass Limited Baltic Gray Metallic Clearcoat 4WD 2.0L I4 DOHC Price does not include Tax, Title, License, Destination Fee and Documentation Fee; Price does include: $500 - 2024 DJR National Retail Consumer Cash 24CR1. Exp. 06/03/2024 $500 - 2024 JEEP SFS Bonus Cash GLCR1. Exp. 06/03/2024  Price includes $946 of dealer added accessories.
      
    All New Vehicle pricing includes Rebate,Owner Loyalty Bonus Cash,Credit Union Bonus Cash and Great Lakes Bonus Cash zip code must be verified.","Jeep","Compass","New","2024","34084","DOHC","4","Gasoline","12","8-Speed Automatic","Limited","SUV","4","Baltic Gray Metallic Clearcoat","Black","Four-wheel Drive"
"2024 Chrysler Pacifica Touring-L","
      
        $750 off MSRP! 2024 Chrysler Pacifica Touring L Diamond Black Crystal Pearlcoat AWD 3.6L V6 24V VVT 9-Speed 948TE Automatic 10.1 Touchscreen Display, 18 x 7.5 Painted Aluminum Wheels, 3.73 Axle Ratio, 360 Surround View Camera System, 3rd row seats: split-bench, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay, Apple CarPlay/Android Auto, Automatic temperature control, AWD Suspension, Black Seats, Brake assist, Bumpers: body-color, Caprice Leatherette Bucket Seats, Compass, Delay-off headlights, Disassociated Touchscreen Display, Driver door bin, Driver vanity mirror, Driver's Seat Mounted Armrest, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Engine Block Heater, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Google Android Auto, GPS Antenna Input, Heated door mirrors, Heated front seats, Heated steering wheel, Illuminated entry, Integrated Active Noise Cancellation, Integrated Center Stack Radio, Knee airbag, Low tire pressure warning, Memory seat, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Parallel & Perpendicular Park Assist w/Stop, ParkSense Front/Rear Park Assist w/Stop, Passenger door bin, Passenger seat mounted armrest, Passenger vanity mirror, Pirelli Brand Tires, Power door mirrors, Power driver seat, Power Front/Fixed Rear Full Sunroof, Power Liftgate, Power Open/Close Shade, Power steering, Power windows, Quick Order Package 27L, Radio data system, Radio: Uconnect 5 w/10.1 Display, Rain sensing wipers, Rear air conditioning, Rear reading lights, Rear window defroster, Rear window wiper, Reclining 3rd row seat, Remote keyless entry, Safety Sphere, Security system, Speed control, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, USB Host Flip, Variably intermittent wipers, Voltmeter. Call us at 907-276-1331 for any questions about features or availability of this vehicle.
      
    Largest Inventory of Chrysler, Dodge, Jeep, and RAM vehicles and the lowest prices in the State of Alaska.  Guaranteed.","Chrysler","Pacifica","New","2024","48705","24V MPFI DOHC","6","Gasoline",,"9-Speed Automatic","Touring-L","Passenger Van","4","Diamond Black","Black","All-wheel Drive"
"2024 Chevrolet Blazer EV 2LT","Radiant Red Tintcoat 2024 Chevrolet Blazer EV LT 2LT AWD 1-Speed Automatic Electric Motor Proudly serving Longmont, Boulder, Denver, Loveland, Erie, Fort Collins, Thornton, Westminster, Lakewood, Broomfield, Golden, Brighton, and Greeley. 103/88 City/Highway MPG Awards:  Motor Trend SUV of the Year","Chevrolet","Blazer EV","New","2024","52190","c",,"Electric","6","1-Speed Automatic","2LT","SUV","4","Radiant Red","Black","All-wheel Drive"
"2024 RAM 2500 Tradesman","Since 1947, Shimkat Motor Company has been the premier retailer of new and used Chrysler, Dodge and Jeep vehicles for the Fort Dodge area. Our dedicated sales staff, knowledgeable finance associates, and expertly trained technicians are all here to make your experience fun, easy and hassle-free! Please print out this ad and mention you came from Cars.com to secure this Internet price!","RAM","2500","New","2024","58855","16V MPFI OHV","8","Gasoline","0","Automatic","Tradesman","Pickup Truck","4","Granite","Black","Four-wheel Drive"
"2024 Nissan Murano SV","
      
        This 2024 Nissan Murano SV will sell fast! This Murano has many valuable options! Satellite radio. Aux. Audio Input. -Heated Front Seats -Heated Mirrors -Auto Climate Control -Automatic Headlights -Multi-Zone Air Conditioning -Security System -Keyless Entry -Steering Wheel Controls -Leather Steering Wheel -Roof Rack -Automatic Transmission -Alloy Wheels On top of that, it has many safety features! -Brake Assist -Traction Control -Stability Control Save money at the pump, knowing this Nissan Murano gets 28.0/20.0 MPG! Call Coggin Nissan on Atlantic at (904) 747-3915 to confirm availability and schedule a no-obligation test drive! We are located at 10600 Atlantic Boulevard, Jacksonville, FL 32225.
      
    Can't find your next car in our inventory? We have spent years building our reputation as being a leading Nissan dealer in the state of FL; come experience why! Our sales staff at Coggin Nissan on Atlantic has extensive knowledge of and passion for the Nissan brand. Our wide selection of new inventory will allow you to find the perfect vehicle to fit your needs.","Nissan","Murano","New","2024","39867","24V MPFI DOHC","6","Gasoline","2","Automatic CVT","SV","SUV","4","White","Graphite","Front-wheel Drive"
